dataset,target,model,k,seed,f1
EAModelSet,Layer,TF-IDF+SVM,1,0,0.6710403931671101
EAModelSet,Layer,TF-IDF+SVM,1,1,0.6683999145712968
EAModelSet,Layer,TF-IDF+SVM,1,2,0.6833117829591799
EAModelSet,Layer,TF-IDF+SVM,1,3,0.6724380792620056
EAModelSet,Layer,TF-IDF+SVM,1,4,0.6682633453164976
EAModelSet,Layer,TF-IDF+SVM,1,5,0.6838572707764741
EAModelSet,Layer,TF-IDF+SVM,1,6,0.6873003806523286
EAModelSet,Layer,TF-IDF+SVM,1,7,0.6598702898199916
EAModelSet,Layer,TF-IDF+SVM,1,8,0.7012760739016217
EAModelSet,Layer,TF-IDF+SVM,1,9,0.6813873736103002
EAModelSet,Layer,GloVe+SVM,1,0,0.3557379918201832
EAModelSet,Layer,GloVe+SVM,1,1,0.3698013022994947
EAModelSet,Layer,GloVe+SVM,1,2,0.35783774864557966
EAModelSet,Layer,GloVe+SVM,1,3,0.34975369248207017
EAModelSet,Layer,GloVe+SVM,1,4,0.38333489234911045
EAModelSet,Layer,GloVe+SVM,1,5,0.3441072504752428
EAModelSet,Layer,GloVe+SVM,1,6,0.3558285495113135
EAModelSet,Layer,GloVe+SVM,1,7,0.36716633706341995
EAModelSet,Layer,GloVe+SVM,1,8,0.34416425422748276
EAModelSet,Layer,GloVe+SVM,1,9,0.35577566430853386
EAModelSet,Layer,GloVe+RF,1,0,0.6056387789160291
EAModelSet,Layer,GloVe+RF,1,1,0.6298197679876992
EAModelSet,Layer,GloVe+RF,1,2,0.5902864338332529
EAModelSet,Layer,GloVe+RF,1,3,0.6004280604600164
EAModelSet,Layer,GloVe+RF,1,4,0.6089044855676369
EAModelSet,Layer,GloVe+RF,1,5,0.6019725442529195
EAModelSet,Layer,GloVe+RF,1,6,0.5865658325599932
EAModelSet,Layer,GloVe+RF,1,7,0.6058975476245874
EAModelSet,Layer,GloVe+RF,1,8,0.6022905993454205
EAModelSet,Layer,GloVe+RF,1,9,0.6063475744785518
EAModelSet,Layer,Worde4MDE+SVM,1,0,0.44757759346123677
EAModelSet,Layer,Worde4MDE+SVM,1,1,0.4461583564719723
EAModelSet,Layer,Worde4MDE+SVM,1,2,0.43889314851417593
EAModelSet,Layer,Worde4MDE+SVM,1,3,0.43772703417889125
EAModelSet,Layer,Worde4MDE+SVM,1,4,0.42081833941529195
EAModelSet,Layer,Worde4MDE+SVM,1,5,0.43238822210990746
EAModelSet,Layer,Worde4MDE+SVM,1,6,0.43664385916828247
EAModelSet,Layer,Worde4MDE+SVM,1,7,0.4291878169958825
EAModelSet,Layer,Worde4MDE+SVM,1,8,0.43517130468133314
EAModelSet,Layer,Worde4MDE+SVM,1,9,0.42409616097614083
EAModelSet,Layer,Worde4MDE+RF,1,0,0.6084119167974588
EAModelSet,Layer,Worde4MDE+RF,1,1,0.615824950484571
EAModelSet,Layer,Worde4MDE+RF,1,2,0.5853254460541361
EAModelSet,Layer,Worde4MDE+RF,1,3,0.594804302142787
EAModelSet,Layer,Worde4MDE+RF,1,4,0.5871900886118233
EAModelSet,Layer,Worde4MDE+RF,1,5,0.6051543326112868
