dataset,config,k,seed,f1
Ecore-555,LLM(NL),0,0,0.9435188739939913
Ecore-555,LLM(NL),0,1,0.9520484985710947
Ecore-555,LLM(NL),0,2,0.9349633132793166
Ecore-555,LLM(NL),0,3,0.9368177921662096
Ecore-555,LLM(NL),0,4,0.944503179699381
Ecore-555,LLM(NL),0,5,0.9443225037410241
Ecore-555,LLM(NL),0,6,0.9496470034523752
Ecore-555,LLM(NL),0,7,0.9591030194181343
Ecore-555,LLM(NL),0,8,0.9447337572417847
Ecore-555,LLM(NL),0,9,0.9534351862547488
Ecore-555,LLM(NL),1,0,0.9914139050081316
Ecore-555,LLM(NL),1,1,0.9762433215656191
Ecore-555,LLM(NL),1,2,0.9880561015062151
Ecore-555,LLM(NL),1,3,0.9775159935860933
Ecore-555,LLM(NL),1,4,0.99557508870093
Ecore-555,LLM(NL),1,5,0.9900958089026524
Ecore-555,LLM(NL),1,6,0.9861485370292512
Ecore-555,LLM(NL),1,7,0.97394270311624
Ecore-555,LLM(NL),1,8,0.9870439100925679
Ecore-555,LLM(NL),1,9,0.9790967523778098
Ecore-555,LLM(NL),2,0,0.9843536637640703
Ecore-555,LLM(NL),2,1,0.9769260614787104
Ecore-555,LLM(NL),2,2,0.9706888989340129
Ecore-555,LLM(NL),2,3,0.9863296610776005
Ecore-555,LLM(NL),2,4,0.9844938156094208
Ecore-555,LLM(NL),2,5,0.9726603262894791
Ecore-555,LLM(NL),2,6,0.9884582504941063
Ecore-555,LLM(NL),2,7,0.9753144479233409
Ecore-555,LLM(NL),2,8,0.9752176354704344
Ecore-555,LLM(NL),2,9,0.9791142094344143
Ecore-555,LLM(NL),3,0,0.9792262962329634
Ecore-555,LLM(NL),3,1,0.9820252408845875
Ecore-555,LLM(NL),3,2,0.9845556864918354
Ecore-555,LLM(NL),3,3,0.9997725470869206
Ecore-555,LLM(NL),3,4,0.9994968476776473
Ecore-555,LLM(NL),3,5,0.9836701681946856
Ecore-555,LLM(NL),3,6,1.0
Ecore-555,LLM(NL),3,7,0.9856104192508179
Ecore-555,LLM(NL),3,8,0.9894252261003035
Ecore-555,LLM(NL),3,9,0.9939522005039654
Ecore-555,LLM(NL+NA),0,0,0.9806284304358018
Ecore-555,LLM(NL+NA),0,1,0.9997366398376372
Ecore-555,LLM(NL+NA),0,2,0.9801901168281346
Ecore-555,LLM(NL+NA),0,3,0.9672216967904026
Ecore-555,LLM(NL+NA),0,4,0.9897492387706276
Ecore-555,LLM(NL+NA),0,5,0.9742914285583916
Ecore-555,LLM(NL+NA),0,6,0.9752614050178665
Ecore-555,LLM(NL+NA),0,7,0.9510749440484513
Ecore-555,LLM(NL+NA),0,8,0.98700887309688
Ecore-555,LLM(NL+NA),0,9,0.9853660423194281
Ecore-555,LLM(NL+NA),1,0,0.9421911752603179
Ecore-555,LLM(NL+NA),1,1,0.9438056530687348
Ecore-555,LLM(NL+NA),1,2,0.9502190018280559
Ecore-555,LLM(NL+NA),1,3,0.9345859833586023
Ecore-555,LLM(NL+NA),1,4,0.9434385484835246
Ecore-555,LLM(NL+NA),1,5,0.9283054416923339
Ecore-555,LLM(NL+NA),1,6,0.931815789347022
Ecore-555,LLM(NL+NA),1,7,0.9445108413889655
Ecore-555,LLM(NL+NA),1,8,0.9385201144597908
Ecore-555,LLM(NL+NA),1,9,0.9229992632667973
Ecore-555,LLM(NL+NA),2,0,0.9372519644159294
Ecore-555,LLM(NL+NA),2,1,0.9323537970322572
Ecore-555,LLM(NL+NA),2,2,0.9266320033796736
Ecore-555,LLM(NL+NA),2,3,0.9379085834528269
Ecore-555,LLM(NL+NA),2,4,0.9303594487226005
Ecore-555,LLM(NL+NA),2,5,0.9198655928033921
Ecore-555,LLM(NL+NA),2,6,0.9239996024919562
Ecore-555,LLM(NL+NA),2,7,0.9499225306888932
Ecore-555,LLM(NL+NA),2,8,0.9203656397548516
Ecore-555,LLM(NL+NA),2,9,0.9360052196837244
Ecore-555,LLM(NL+NA),3,0,0.9624905032287747
Ecore-555,LLM(NL+NA),3,1,0.9627527014167028
Ecore-555,LLM(NL+NA),3,2,0.9459707550722524
Ecore-555,LLM(NL+NA),3,3,0.9541061564758021
Ecore-555,LLM(NL+NA),3,4,0.9582676205261574
