dataset,target,config,k,seed,f1
EAModelSet,Layer,LLM(NL),0,0,0.7420123015335748
EAModelSet,Layer,LLM(NL),0,1,0.7449874553750847
EAModelSet,Layer,LLM(NL),0,2,0.7392586214463778
EAModelSet,Layer,LLM(NL),0,3,0.7330940816124273
EAModelSet,Layer,LLM(NL),0,4,0.7374532921482828
EAModelSet,Layer,LLM(NL),0,5,0.7320835344500354
EAModelSet,Layer,LLM(NL),0,6,0.7426014360259744
EAModelSet,Layer,LLM(NL),0,7,0.7554021524555453
EAModelSet,Layer,LLM(NL),0,8,0.7370779348144867
EAModelSet,Layer,LLM(NL),0,9,0.7357952510018005
EAModelSet,Layer,LLM(NL),1,0,0.8308984205018519
EAModelSet,Layer,LLM(NL),1,1,0.8295688700816005
EAModelSet,Layer,LLM(NL),1,2,0.827054142489979
EAModelSet,Layer,LLM(NL),1,3,0.816695319552918
EAModelSet,Layer,LLM(NL),1,4,0.8257074817753672
EAModelSet,Layer,LLM(NL),1,5,0.8329530319445828
EAModelSet,Layer,LLM(NL),1,6,0.8125578545271491
EAModelSet,Layer,LLM(NL),1,7,0.8214238423895978
EAModelSet,Layer,LLM(NL),1,8,0.8069877726019915
EAModelSet,Layer,LLM(NL),1,9,0.8131046226021502
EAModelSet,Layer,LLM(NL),2,0,0.7985826496220826
EAModelSet,Layer,LLM(NL),2,1,0.8146490886892531
EAModelSet,Layer,LLM(NL),2,2,0.8043255351855629
EAModelSet,Layer,LLM(NL),2,3,0.8197126435882169
EAModelSet,Layer,LLM(NL),2,4,0.8185675108662422
EAModelSet,Layer,LLM(NL),2,5,0.8151306905537004
EAModelSet,Layer,LLM(NL),2,6,0.7918324028917948
EAModelSet,Layer,LLM(NL),2,7,0.8116130710415336
EAModelSet,Layer,LLM(NL),2,8,0.8165149905459892
EAModelSet,Layer,LLM(NL),2,9,0.818133089860033
EAModelSet,Layer,LLM(NL),3,0,0.804698642344946
EAModelSet,Layer,LLM(NL),3,1,0.8152224672396606
EAModelSet,Layer,LLM(NL),3,2,0.8102148092194336
EAModelSet,Layer,LLM(NL),3,3,0.811911627605744
EAModelSet,Layer,LLM(NL),3,4,0.8306089862338607
EAModelSet,Layer,LLM(NL),3,5,0.811924653246681
EAModelSet,Layer,LLM(NL),3,6,0.8196747829505447
EAModelSet,Layer,LLM(NL),3,7,0.8288438986738317
EAModelSet,Layer,LLM(NL),3,8,0.8141639956725669
EAModelSet,Layer,LLM(NL),3,9,0.8188829805041583
EAModelSet,Layer,LLM(NL+NT),1,0,0.8421046414324947
